vote_event_id,voter_id,option,group_id,
1019,2010-537683-1-113-2,yes,vpm_party,
1019,2010-537683-1-901-6,yes,nk_party,
1019,2010-537683-1-901-4,yes,nk_party,
1019,2010-537683-1-901-8,abstain,nk_party,
1019,2010-537683-1-113-7,abstain,vpm_party,
1019,2010-537683-1-53-16,abstain,ods_party,
1020,2010-537683-1-721-8,yes,top-09_party,
1020,2010-537683-1-449-1,yes,snk-ed_party,
1020,2010-537683-1-449-14,yes,nk_party,
1020,2010-537683-1-53-3,abstain,ods_party,
1020,2010-537683-1-113-4,yes,vpm_party,
1020,2010-537683-1-113-5,yes,vpm_party,
1020,2010-537683-1-449-11,absent,nk_party,
1020,2010-537683-1-113-3,yes,vpm_party,
1020,2010-537683-1-901-5,yes,nk_party,
1020,2010-537683-1-901-7,yes,nk_party,
1020,2010-537683-1-901-2,yes,nk_party,
1020,2010-537683-1-113-1,yes,vpm_party,
1020,2010-537683-1-7-6,yes,cssd_party,
1020,2010-537683-1-721-7,yes,top-09_party,
1020,2010-537683-1-53-1,yes,ods_party,
1020,2010-537683-1-901-1,yes,nk_party,
1020,2010-537683-1-53-2,yes,ods_party,
1020,2010-537683-1-7-5,yes,cssd_party,
1020,2010-537683-1-53-9,yes,ods_party,
1020,2010-537683-1-113-6,yes,vpm_party,
1020,2010-537683-1-901-3,yes,nk_party,
1020,2010-537683-1-53-12,yes,ods_party,
1020,2010-537683-1-7-3,yes,cssd_party,
1020,2010-537683-1-721-1,yes,top-09_party,
1020,2010-537683-1-113-2,abstain,vpm_party,
1020,2010-537683-1-901-6,yes,nk_party,
1020,2010-537683-1-901-4,yes,nk_party,
1020,2010-537683-1-901-8,abstain,nk_party,
1020,2010-537683-1-113-7,abstain,vpm_party,
1020,2010-537683-1-53-16,abstain,ods_party,
1021,2010-537683-1-721-8,yes,top-09_party,
1021,2010-537683-1-449-1,yes,snk-ed_party,
1021,2010-537683-1-449-14,yes,nk_party,
1021,2010-537683-1-53-3,yes,ods_party,
1021,2010-537683-1-113-4,yes,vpm_party,
1021,2010-537683-1-113-5,yes,vpm_party,
1021,2010-537683-1-449-11,absent,nk_party,
1021,2010-537683-1-113-3,yes,vpm_party,
1021,2010-537683-1-901-5,yes,nk_party,
1021,2010-537683-1-901-7,yes,nk_party,
1021,2010-537683-1-901-2,yes,nk_party,
1021,2010-537683-1-113-1,yes,vpm_party,
1021,2010-537683-1-7-6,yes,cssd_party,
1021,2010-537683-1-721-7,yes,top-09_party,
1021,2010-537683-1-53-1,yes,ods_party,
1021,2010-537683-1-901-1,yes,nk_party,
1021,2010-537683-1-53-2,yes,ods_party,
1021,2010-537683-1-7-5,yes,cssd_party,
1021,2010-537683-1-53-9,yes,ods_party,
1021,2010-537683-1-113-6,yes,vpm_party,
1021,2010-537683-1-901-3,yes,nk_party,
1021,2010-537683-1-53-12,yes,ods_party,
1021,2010-537683-1-7-3,yes,cssd_party,
1021,2010-537683-1-721-1,yes,top-09_party,
1021,2010-537683-1-113-2,yes,vpm_party,
1021,2010-537683-1-901-6,yes,nk_party,
1021,2010-537683-1-901-4,yes,nk_party,
1021,2010-537683-1-901-8,abstain,nk_party,
1021,2010-537683-1-113-7,abstain,vpm_party,
1021,2010-537683-1-53-16,abstain,ods_party,
1022,2010-537683-1-721-8,yes,top-09_party,
1022,2010-537683-1-449-1,abstain,snk-ed_party,
1022,2010-537683-1-449-14,yes,nk_party,
1022,2010-537683-1-53-3,abstain,ods_party,
1022,2010-537683-1-113-4,yes,vpm_party,
1022,2010-537683-1-113-5,yes,vpm_party,
1022,2010-537683-1-449-11,absent,nk_party,
1022,2010-537683-1-113-3,yes,vpm_party,
1022,2010-537683-1-901-5,yes,nk_party,
1022,2010-537683-1-901-7,yes,nk_party,
1022,2010-537683-1-901-2,yes,nk_party,
1022,2010-537683-1-113-1,yes,vpm_party,
1022,2010-537683-1-7-6,yes,cssd_party,
1022,2010-537683-1-721-7,yes,top-09_party,
1022,2010-537683-1-53-1,abstain,ods_party,
1022,2010-537683-1-901-1,yes,nk_party,
1022,2010-537683-1-53-2,yes,ods_party,
1022,2010-537683-1-7-5,yes,cssd_party,
1022,2010-537683-1-53-9,yes,ods_party,
1022,2010-537683-1-113-6,yes,vpm_party,
1022,2010-537683-1-901-3,yes,nk_party,
1022,2010-537683-1-53-12,abstain,ods_party,
1022,2010-537683-1-7-3,yes,cssd_party,
1022,2010-537683-1-721-1,yes,top-09_party,
1022,2010-537683-1-113-2,yes,vpm_party,
1022,2010-537683-1-901-6,yes,nk_party,
1022,2010-537683-1-901-4,yes,nk_party,
1022,2010-537683-1-901-8,abstain,nk_party,
1022,2010-537683-1-113-7,abstain,vpm_party,
1022,2010-537683-1-53-16,abstain,ods_party,
1023,2010-537683-1-721-8,yes,top-09_party,
1023,2010-537683-1-449-1,yes,snk-ed_party,
1023,2010-537683-1-449-14,yes,nk_party,
1023,2010-537683-1-53-3,abstain,ods_party,
1023,2010-537683-1-113-4,yes,vpm_party,
1023,2010-537683-1-113-5,yes,vpm_party,
1023,2010-537683-1-449-11,absent,nk_party,
1023,2010-537683-1-113-3,yes,vpm_party,
1023,2010-537683-1-901-5,yes,nk_party,
1023,2010-537683-1-901-7,yes,nk_party,
1023,2010-537683-1-901-2,yes,nk_party,
1023,2010-537683-1-113-1,yes,vpm_party,
1023,2010-537683-1-7-6,yes,cssd_party,
1023,2010-537683-1-721-7,yes,top-09_party,
1023,2010-537683-1-53-1,yes,ods_party,
1023,2010-537683-1-901-1,yes,nk_party,
1023,2010-537683-1-53-2,yes,ods_party,
1023,2010-537683-1-7-5,yes,cssd_party,
1023,2010-537683-1-53-9,yes,ods_party,
1023,2010-537683-1-113-6,yes,vpm_party,
1023,2010-537683-1-901-3,yes,nk_party,
1023,2010-537683-1-53-12,yes,ods_party,
1023,2010-537683-1-7-3,yes,cssd_party,
1023,2010-537683-1-721-1,yes,top-09_party,
1023,2010-537683-1-113-2,yes,vpm_party,
1023,2010-537683-1-901-6,yes,nk_party,
1023,2010-537683-1-901-4,yes,nk_party,
1023,2010-537683-1-901-8,abstain,nk_party,
1023,2010-537683-1-113-7,abstain,vpm_party,
1023,2010-537683-1-53-16,abstain,ods_party,
1024,2010-537683-1-721-8,yes,top-09_party,
1024,2010-537683-1-449-1,yes,snk-ed_party,
1024,2010-537683-1-449-14,yes,nk_party,
1024,2010-537683-1-53-3,yes,ods_party,
1024,2010-537683-1-113-4,yes,vpm_party,
1024,2010-537683-1-113-5,yes,vpm_party,
1024,2010-537683-1-449-11,absent,nk_party,
1024,2010-537683-1-113-3,yes,vpm_party,
1024,2010-537683-1-901-5,yes,nk_party,
1024,2010-537683-1-901-7,yes,nk_party,
1024,2010-537683-1-901-2,yes,nk_party,
1024,2010-537683-1-113-1,yes,vpm_party,
1024,2010-537683-1-7-6,yes,cssd_party,
1024,2010-537683-1-721-7,yes,top-09_party,
1024,2010-537683-1-53-1,yes,ods_party,
1024,2010-537683-1-901-1,yes,nk_party,
1024,2010-537683-1-53-2,yes,ods_party,
1024,2010-537683-1-7-5,yes,cssd_party,
1024,2010-537683-1-53-9,yes,ods_party,
1024,2010-537683-1-113-6,yes,vpm_party,
1024,2010-537683-1-901-3,yes,nk_party,
1024,2010-537683-1-53-12,yes,ods_party,
1024,2010-537683-1-7-3,yes,cssd_party,
1024,2010-537683-1-721-1,yes,top-09_party,
1024,2010-537683-1-113-2,yes,vpm_party,
1024,2010-537683-1-901-6,yes,nk_party,
1024,2010-537683-1-901-4,yes,nk_party,
1024,2010-537683-1-901-8,abstain,nk_party,
1024,2010-537683-1-113-7,abstain,vpm_party,
1024,2010-537683-1-53-16,abstain,ods_party,
1025,2010-537683-1-721-8,yes,top-09_party,
1025,2010-537683-1-449-1,yes,snk-ed_party,
1025,2010-537683-1-449-14,yes,nk_party,
1025,2010-537683-1-53-3,yes,ods_party,
1025,2010-537683-1-113-4,yes,vpm_party,
1025,2010-537683-1-113-5,yes,vpm_party,
1025,2010-537683-1-449-11,absent,nk_party,
1025,2010-537683-1-113-3,yes,vpm_party,
1025,2010-537683-1-901-5,yes,nk_party,
1025,2010-537683-1-901-7,yes,nk_party,
1025,2010-537683-1-901-2,yes,nk_party,
1025,2010-537683-1-113-1,yes,vpm_party,
1025,2010-537683-1-7-6,yes,cssd_party,
1025,2010-537683-1-721-7,yes,top-09_party,
1025,2010-537683-1-53-1,yes,ods_party,
1025,2010-537683-1-901-1,yes,nk_party,
1025,2010-537683-1-53-2,yes,ods_party,
1025,2010-537683-1-7-5,yes,cssd_party,
1025,2010-537683-1-53-9,yes,ods_party,
1025,2010-537683-1-113-6,yes,vpm_party,
1025,2010-537683-1-901-3,yes,nk_party,
1025,2010-537683-1-53-12,yes,ods_party,
1025,2010-537683-1-7-3,yes,cssd_party,
1025,2010-537683-1-721-1,yes,top-09_party,
1025,2010-537683-1-113-2,yes,vpm_party,
1025,2010-537683-1-901-6,yes,nk_party,
1025,2010-537683-1-901-4,yes,nk_party,
1025,2010-537683-1-901-8,abstain,nk_party,
1025,2010-537683-1-113-7,abstain,vpm_party,
1025,2010-537683-1-53-16,abstain,ods_party,
1026,2010-537683-1-721-8,yes,top-09_party,
1026,2010-537683-1-449-1,yes,snk-ed_party,
1026,2010-537683-1-449-14,yes,nk_party,
1026,2010-537683-1-53-3,yes,ods_party,
1026,2010-537683-1-113-4,yes,vpm_party,
1026,2010-537683-1-113-5,yes,vpm_party,
1026,2010-537683-1-449-11,absent,nk_party,
1026,2010-537683-1-113-3,yes,vpm_party,
1026,2010-537683-1-901-5,yes,nk_party,
1026,2010-537683-1-901-7,yes,nk_party,
1026,2010-537683-1-901-2,yes,nk_party,
1026,2010-537683-1-113-1,yes,vpm_party,
1026,2010-537683-1-7-6,yes,cssd_party,
1026,2010-537683-1-721-7,yes,top-09_party,
1026,2010-537683-1-53-1,yes,ods_party,
1026,2010-537683-1-901-1,yes,nk_party,
1026,2010-537683-1-53-2,yes,ods_party,
1026,2010-537683-1-7-5,yes,cssd_party,
1026,2010-537683-1-53-9,yes,ods_party,
1026,2010-537683-1-113-6,yes,vpm_party,
1026,2010-537683-1-901-3,yes,nk_party,
1026,2010-537683-1-53-12,yes,ods_party,
1026,2010-537683-1-7-3,yes,cssd_party,
1026,2010-537683-1-721-1,yes,top-09_party,
1026,2010-537683-1-113-2,yes,vpm_party,
1026,2010-537683-1-901-6,yes,nk_party,
1026,2010-537683-1-901-4,yes,nk_party,
1026,2010-537683-1-901-8,abstain,nk_party,
1026,2010-537683-1-113-7,abstain,vpm_party,
1026,2010-537683-1-53-16,abstain,ods_party,
1027,2010-537683-1-721-8,yes,top-09_party,
1027,2010-537683-1-449-1,yes,snk-ed_party,
1027,2010-537683-1-449-14,yes,nk_party,
1027,2010-537683-1-53-3,yes,ods_party,
1027,2010-537683-1-113-4,yes,vpm_party,
1027,2010-537683-1-113-5,yes,vpm_party,
1027,2010-537683-1-449-11,absent,nk_party,
1027,2010-537683-1-113-3,yes,vpm_party,
1027,2010-537683-1-901-5,abstain,nk_party,
1027,2010-537683-1-901-7,yes,nk_party,
1027,2010-537683-1-901-2,yes,nk_party,
1027,2010-537683-1-113-1,yes,vpm_party,
1027,2010-537683-1-7-6,yes,cssd_party,
1027,2010-537683-1-721-7,yes,top-09_party,
1027,2010-537683-1-53-1,yes,ods_party,
1027,2010-537683-1-901-1,yes,nk_party,
1027,2010-537683-1-53-2,yes,ods_party,
1027,2010-537683-1-7-5,yes,cssd_party,
1027,2010-537683-1-53-9,abstain,ods_party,
1027,2010-537683-1-113-6,yes,vpm_party,
1027,2010-537683-1-901-3,yes,nk_party,
1027,2010-537683-1-53-12,yes,ods_party,
1027,2010-537683-1-7-3,yes,cssd_party,
1027,2010-537683-1-721-1,yes,top-09_party,
1027,2010-537683-1-113-2,yes,vpm_party,
1027,2010-537683-1-901-6,yes,nk_party,
1027,2010-537683-1-901-4,yes,nk_party,
1027,2010-537683-1-901-8,abstain,nk_party,
1027,2010-537683-1-113-7,abstain,vpm_party,
1027,2010-537683-1-53-16,abstain,ods_party,
1028,2010-537683-1-721-8,yes,top-09_party,
1028,2010-537683-1-449-1,yes,snk-ed_party,
1028,2010-537683-1-449-14,abstain,nk_party,
1028,2010-537683-1-53-3,yes,ods_party,
1028,2010-537683-1-113-4,abstain,vpm_party,
1028,2010-537683-1-113-5,yes,vpm_party,
1028,2010-537683-1-449-11,absent,nk_party,
1028,2010-537683-1-113-3,yes,vpm_party,
1028,2010-537683-1-901-5,yes,nk_party,
1028,2010-537683-1-901-7,yes,nk_party,
1028,2010-537683-1-901-2,yes,nk_party,
1028,2010-537683-1-113-1,yes,vpm_party,
1028,2010-537683-1-7-6,yes,cssd_party,
1028,2010-537683-1-721-7,yes,top-09_party,
1028,2010-537683-1-53-1,yes,ods_party,
1028,2010-537683-1-901-1,yes,nk_party,
1028,2010-537683-1-53-2,yes,ods_party,
1028,2010-537683-1-7-5,yes,cssd_party,
1028,2010-537683-1-53-9,yes,ods_party,
1028,2010-537683-1-113-6,yes,vpm_party,
1028,2010-537683-1-901-3,yes,nk_party,
1028,2010-537683-1-53-12,yes,ods_party,
1028,2010-537683-1-7-3,abstain,cssd_party,
1028,2010-537683-1-721-1,yes,top-09_party,
1028,2010-537683-1-113-2,yes,vpm_party,
1028,2010-537683-1-901-6,yes,nk_party,
1028,2010-537683-1-901-4,yes,nk_party,
1028,2010-537683-1-901-8,abstain,nk_party,
1028,2010-537683-1-113-7,abstain,vpm_party,
1028,2010-537683-1-53-16,abstain,ods_party,
1029,2010-537683-1-721-8,yes,top-09_party,
1029,2010-537683-1-449-1,yes,snk-ed_party,
1029,2010-537683-1-449-14,yes,nk_party,
1029,2010-537683-1-53-3,yes,ods_party,
1029,2010-537683-1-113-4,yes,vpm_party,
1029,2010-537683-1-113-5,yes,vpm_party,
1029,2010-537683-1-449-11,absent,nk_party,
1029,2010-537683-1-113-3,yes,vpm_party,
1029,2010-537683-1-901-5,yes,nk_party,
1029,2010-537683-1-901-7,yes,nk_party,
1029,2010-537683-1-901-2,yes,nk_party,
1029,2010-537683-1-113-1,yes,vpm_party,
1029,2010-537683-1-7-6,yes,cssd_party,
1029,2010-537683-1-721-7,yes,top-09_party,
1029,2010-537683-1-53-1,yes,ods_party,
1029,2010-537683-1-901-1,yes,nk_party,
1029,2010-537683-1-53-2,yes,ods_party,
1029,2010-537683-1-7-5,yes,cssd_party,
1029,2010-537683-1-53-9,yes,ods_party,
1029,2010-537683-1-113-6,yes,vpm_party,
1029,2010-537683-1-901-3,yes,nk_party,
1029,2010-537683-1-53-12,yes,ods_party,
1029,2010-537683-1-7-3,yes,cssd_party,
1029,2010-537683-1-721-1,yes,top-09_party,
1029,2010-537683-1-113-2,yes,vpm_party,
1029,2010-537683-1-901-6,yes,nk_party,
1029,2010-537683-1-901-4,yes,nk_party,
1029,2010-537683-1-901-8,abstain,nk_party,
1029,2010-537683-1-113-7,abstain,vpm_party,
1029,2010-537683-1-53-16,abstain,ods_party,
1030,2010-537683-1-721-8,yes,top-09_party,
1030,2010-537683-1-449-1,yes,snk-ed_party,
1030,2010-537683-1-449-14,yes,nk_party,
1030,2010-537683-1-53-3,yes,ods_party,
1030,2010-537683-1-113-4,yes,vpm_party,
1030,2010-537683-1-113-5,yes,vpm_party,
1030,2010-537683-1-449-11,absent,nk_party,
1030,2010-537683-1-113-3,yes,vpm_party,
1030,2010-537683-1-901-5,yes,nk_party,
1030,2010-537683-1-901-7,yes,nk_party,
1030,2010-537683-1-901-2,yes,nk_party,
1030,2010-537683-1-113-1,yes,vpm_party,
1030,2010-537683-1-7-6,yes,cssd_party,
1030,2010-537683-1-721-7,yes,top-09_party,
1030,2010-537683-1-53-1,yes,ods_party,
1030,2010-537683-1-901-1,yes,nk_party,
1030,2010-537683-1-53-2,yes,ods_party,
1030,2010-537683-1-7-5,yes,cssd_party,
1030,2010-537683-1-53-9,yes,ods_party,
1030,2010-537683-1-113-6,yes,vpm_party,
1030,2010-537683-1-901-3,yes,nk_party,
1030,2010-537683-1-53-12,yes,ods_party,
1030,2010-537683-1-7-3,yes,cssd_party,
1030,2010-537683-1-721-1,yes,top-09_party,
1030,2010-537683-1-113-2,yes,vpm_party,
1030,2010-537683-1-901-6,yes,nk_party,
1030,2010-537683-1-901-4,yes,nk_party,
1030,2010-537683-1-901-8,abstain,nk_party,
1030,2010-537683-1-113-7,abstain,vpm_party,
1030,2010-537683-1-53-16,abstain,ods_party,
1031,2010-537683-1-721-8,yes,top-09_party,
1031,2010-537683-1-449-1,abstain,snk-ed_party,
1031,2010-537683-1-449-14,no,nk_party,
1031,2010-537683-1-53-3,no,ods_party,
1031,2010-537683-1-113-4,yes,vpm_party,
1031,2010-537683-1-113-5,yes,vpm_party,
1031,2010-537683-1-449-11,absent,nk_party,
1031,2010-537683-1-113-3,yes,vpm_party,
1031,2010-537683-1-901-5,yes,nk_party,
1031,2010-537683-1-901-7,yes,nk_party,
1031,2010-537683-1-901-2,abstain,nk_party,
1031,2010-537683-1-113-1,yes,vpm_party,
1031,2010-537683-1-7-6,no,cssd_party,
1031,2010-537683-1-721-7,yes,top-09_party,
1031,2010-537683-1-53-1,abstain,ods_party,
1031,2010-537683-1-901-1,yes,nk_party,
1031,2010-537683-1-53-2,no,ods_party,
1031,2010-537683-1-7-5,abstain,cssd_party,
1031,2010-537683-1-53-9,no,ods_party,
1031,2010-537683-1-113-6,yes,vpm_party,
1031,2010-537683-1-901-3,yes,nk_party,
1031,2010-537683-1-53-12,no,ods_party,
1031,2010-537683-1-7-3,abstain,cssd_party,
1031,2010-537683-1-721-1,yes,top-09_party,
1031,2010-537683-1-113-2,yes,vpm_party,
1031,2010-537683-1-901-6,yes,nk_party,
1031,2010-537683-1-901-4,yes,nk_party,
1031,2010-537683-1-901-8,abstain,nk_party,
1031,2010-537683-1-113-7,abstain,vpm_party,
1031,2010-537683-1-53-16,abstain,ods_party,
1032,2010-537683-1-721-8,yes,top-09_party,
1032,2010-537683-1-449-1,yes,snk-ed_party,
1032,2010-537683-1-449-14,yes,nk_party,
1032,2010-537683-1-53-3,yes,ods_party,
1032,2010-537683-1-113-4,yes,vpm_party,
1032,2010-537683-1-113-5,yes,vpm_party,
1032,2010-537683-1-449-11,absent,nk_party,
1032,2010-537683-1-113-3,yes,vpm_party,
1032,2010-537683-1-901-5,abstain,nk_party,
1032,2010-537683-1-901-7,yes,nk_party,
1032,2010-537683-1-901-2,yes,nk_party,
1032,2010-537683-1-113-1,yes,vpm_party,
1032,2010-537683-1-7-6,yes,cssd_party,
1032,2010-537683-1-721-7,yes,top-09_party,
1032,2010-537683-1-53-1,yes,ods_party,
1032,2010-537683-1-901-1,yes,nk_party,
1032,2010-537683-1-53-2,yes,ods_party,
1032,2010-537683-1-7-5,abstain,cssd_party,
1032,2010-537683-1-53-9,yes,ods_party,
1032,2010-537683-1-113-6,yes,vpm_party,
1032,2010-537683-1-901-3,yes,nk_party,
1032,2010-537683-1-53-12,yes,ods_party,
1032,2010-537683-1-7-3,yes,cssd_party,
1032,2010-537683-1-721-1,yes,top-09_party,
1032,2010-537683-1-113-2,yes,vpm_party,
1032,2010-537683-1-901-6,abstain,nk_party,
1032,2010-537683-1-901-4,yes,nk_party,
1032,2010-537683-1-901-8,abstain,nk_party,
1032,2010-537683-1-113-7,abstain,vpm_party,
1032,2010-537683-1-53-16,abstain,ods_party,
1033,2010-537683-1-721-8,yes,top-09_party,
1033,2010-537683-1-449-1,yes,snk-ed_party,
1033,2010-537683-1-449-14,yes,nk_party,
1033,2010-537683-1-53-3,yes,ods_party,
1033,2010-537683-1-113-4,yes,vpm_party,
1033,2010-537683-1-113-5,yes,vpm_party,
1033,2010-537683-1-449-11,absent,nk_party,
1033,2010-537683-1-113-3,yes,vpm_party,
1033,2010-537683-1-901-5,yes,nk_party,
1033,2010-537683-1-901-7,yes,nk_party,
1033,2010-537683-1-901-2,yes,nk_party,
1033,2010-537683-1-113-1,yes,vpm_party,
1033,2010-537683-1-7-6,yes,cssd_party,
1033,2010-537683-1-721-7,yes,top-09_party,
1033,2010-537683-1-53-1,yes,ods_party,
1033,2010-537683-1-901-1,yes,nk_party,
1033,2010-537683-1-53-2,yes,ods_party,
1033,2010-537683-1-7-5,yes,cssd_party,
1033,2010-537683-1-53-9,yes,ods_party,
1033,2010-537683-1-113-6,yes,vpm_party,
1033,2010-537683-1-901-3,yes,nk_party,
1033,2010-537683-1-53-12,yes,ods_party,
1033,2010-537683-1-7-3,yes,cssd_party,
1033,2010-537683-1-721-1,yes,top-09_party,
1033,2010-537683-1-113-2,yes,vpm_party,
1033,2010-537683-1-901-6,yes,nk_party,
1033,2010-537683-1-901-4,yes,nk_party,
1033,2010-537683-1-901-8,abstain,nk_party,
1033,2010-537683-1-113-7,abstain,vpm_party,
1033,2010-537683-1-53-16,abstain,ods_party,
1034,2010-537683-1-721-8,yes,top-09_party,
1034,2010-537683-1-449-1,abstain,snk-ed_party,
1034,2010-537683-1-449-14,abstain,nk_party,
1034,2010-537683-1-53-3,abstain,ods_party,
1034,2010-537683-1-113-4,yes,vpm_party,
1034,2010-537683-1-113-5,yes,vpm_party,
1034,2010-537683-1-449-11,absent,nk_party,
1034,2010-537683-1-113-3,yes,vpm_party,
1034,2010-537683-1-901-5,yes,nk_party,
1034,2010-537683-1-901-7,abstain,nk_party,
1034,2010-537683-1-901-2,yes,nk_party,
1034,2010-537683-1-113-1,yes,vpm_party,
1034,2010-537683-1-7-6,yes,cssd_party,
1034,2010-537683-1-721-7,yes,top-09_party,
1034,2010-537683-1-53-1,yes,ods_party,
1034,2010-537683-1-901-1,yes,nk_party,
1034,2010-537683-1-53-2,yes,ods_party,
1034,2010-537683-1-7-5,yes,cssd_party,
1034,2010-537683-1-53-9,abstain,ods_party,
1034,2010-537683-1-113-6,yes,vpm_party,
1034,2010-537683-1-901-3,yes,nk_party,
1034,2010-537683-1-53-12,abstain,ods_party,
1034,2010-537683-1-7-3,abstain,cssd_party,
1034,2010-537683-1-721-1,yes,top-09_party,
1034,2010-537683-1-113-2,yes,vpm_party,
1034,2010-537683-1-901-6,yes,nk_party,
1034,2010-537683-1-901-4,yes,nk_party,
1034,2010-537683-1-901-8,abstain,nk_party,
1034,2010-537683-1-113-7,abstain,vpm_party,
1034,2010-537683-1-53-16,abstain,ods_party,
1035,2010-537683-1-721-8,yes,top-09_party,
1035,2010-537683-1-449-1,abstain,snk-ed_party,
1035,2010-537683-1-449-14,abstain,nk_party,
1035,2010-537683-1-53-3,yes,ods_party,
1035,2010-537683-1-113-4,yes,vpm_party,
1035,2010-537683-1-113-5,yes,vpm_party,
1035,2010-537683-1-449-11,absent,nk_party,
1035,2010-537683-1-113-3,yes,vpm_party,
1035,2010-537683-1-901-5,yes,nk_party,
1035,2010-537683-1-901-7,yes,nk_party,
1035,2010-537683-1-901-2,yes,nk_party,
1035,2010-537683-1-113-1,yes,vpm_party,
1035,2010-537683-1-7-6,yes,cssd_party,
1035,2010-537683-1-721-7,yes,top-09_party,
1035,2010-537683-1-53-1,yes,ods_party,
1035,2010-537683-1-901-1,yes,nk_party,
1035,2010-537683-1-53-2,yes,ods_party,
1035,2010-537683-1-7-5,yes,cssd_party,
1035,2010-537683-1-53-9,abstain,ods_party,
1035,2010-537683-1-113-6,yes,vpm_party,
1035,2010-537683-1-901-3,yes,nk_party,
1035,2010-537683-1-53-12,yes,ods_party,
1035,2010-537683-1-7-3,abstain,cssd_party,
1035,2010-537683-1-721-1,yes,top-09_party,
1035,2010-537683-1-113-2,yes,vpm_party,
1035,2010-537683-1-901-6,yes,nk_party,
1035,2010-537683-1-901-4,yes,nk_party,
1035,2010-537683-1-901-8,abstain,nk_party,
1035,2010-537683-1-113-7,abstain,vpm_party,
1035,2010-537683-1-53-16,abstain,ods_party,
1036,2010-537683-1-721-8,yes,top-09_party,
1036,2010-537683-1-449-1,abstain,snk-ed_party,
1036,2010-537683-1-449-14,abstain,nk_party,
1036,2010-537683-1-53-3,abstain,ods_party,
1036,2010-537683-1-113-4,yes,vpm_party,
1036,2010-537683-1-113-5,yes,vpm_party,
1036,2010-537683-1-449-11,absent,nk_party,
1036,2010-537683-1-113-3,yes,vpm_party,
1036,2010-537683-1-901-5,yes,nk_party,
1036,2010-537683-1-901-7,yes,nk_party,
1036,2010-537683-1-901-2,yes,nk_party,
1036,2010-537683-1-113-1,yes,vpm_party,
1036,2010-537683-1-7-6,yes,cssd_party,
1036,2010-537683-1-721-7,yes,top-09_party,
1036,2010-537683-1-53-1,yes,ods_party,
1036,2010-537683-1-901-1,yes,nk_party,
1036,2010-537683-1-53-2,yes,ods_party,
1036,2010-537683-1-7-5,yes,cssd_party,
1036,2010-537683-1-53-9,yes,ods_party,
1036,2010-537683-1-113-6,yes,vpm_party,
1036,2010-537683-1-901-3,yes,nk_party,
1036,2010-537683-1-53-12,yes,ods_party,
1036,2010-537683-1-7-3,yes,cssd_party,
1036,2010-537683-1-721-1,yes,top-09_party,
1036,2010-537683-1-113-2,yes,vpm_party,
1036,2010-537683-1-901-6,yes,nk_party,
1036,2010-537683-1-901-4,yes,nk_party,
1036,2010-537683-1-901-8,abstain,nk_party,
1036,2010-537683-1-113-7,abstain,vpm_party,
1036,2010-537683-1-53-16,abstain,ods_party,
1037,2010-537683-1-721-8,yes,top-09_party,
1037,2010-537683-1-449-1,abstain,snk-ed_party,
1037,2010-537683-1-449-14,yes,nk_party,
1037,2010-537683-1-53-3,abstain,ods_party,
1037,2010-537683-1-113-4,yes,vpm_party,
1037,2010-537683-1-113-5,yes,vpm_party,
1037,2010-537683-1-449-11,absent,nk_party,
1037,2010-537683-1-113-3,yes,vpm_party,
1037,2010-537683-1-901-5,yes,nk_party,
1037,2010-537683-1-901-7,yes,nk_party,
1037,2010-537683-1-901-2,yes,nk_party,
1037,2010-537683-1-113-1,yes,vpm_party,
1037,2010-537683-1-7-6,yes,cssd_party,
1037,2010-537683-1-721-7,yes,top-09_party,
1037,2010-537683-1-53-1,yes,ods_party,
1037,2010-537683-1-901-1,yes,nk_party,
1037,2010-537683-1-53-2,yes,ods_party,
1037,2010-537683-1-7-5,yes,cssd_party,
1037,2010-537683-1-53-9,yes,ods_party,
1037,2010-537683-1-113-6,yes,vpm_party,
1037,2010-537683-1-901-3,yes,nk_party,
